,PGJ
symbol,PGJ
price,32.29
beta,0
volAvg,163113
mktCap,169522500
lastDiv,0.22900000000000004
range,16.87-36.91
changes,-0.03
companyName,Invesco Golden Dragon China ETF
currency,USD
cik,
isin,US46137V5710
cusip,46137V571
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of securities of U.S. exchange-listed companies that are headquartered or incorporated in the People's Republic of China. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PGJ.png
ipoDate,2004-12-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
