,WGMI
symbol,WGMI
price,8.88
beta,0
volAvg,18219
mktCap,0
lastDiv,0
range,4.07-30.51
changes,0.31
companyName,Valkyrie Bitcoin Miners ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund is an actively-managed exchange-traded fund (“ETF”) that will invest at least 80% of its net assets (plus borrowings for investment purposes) in securities of companies that derive at least 50% of their revenue or profits from bitcoin mining operations and/or from providing specialized chips, hardware and software or other services to companies engaged in bitcoin mining. It will not directly invest in bitcoin, or indirectly through the use of derivatives or through investments in funds or trusts that hold bitcoin. The fund is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WGMI.png
ipoDate,2022-02-08
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
