,DIV
symbol,DIV
price,19.53
beta,0
volAvg,134308
mktCap,464119650
lastDiv,1.136
range,17.37-21.84
changes,0.12
companyName,Global X SuperDividend U.S. ETF
currency,USD
cik,
isin,US37950E2919
cusip,37950E291
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index tracks the performance of 50 equally-weighted common stocks, including Master Limited Partnerships (""MLPs"") and Real Estate Investment Trusts (""REITs"") that rank among the highest dividend yielding equity securities in the United States."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DIV.png
ipoDate,2013-03-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
