,GUSH
symbol,GUSH
price,154.77
beta,0
volAvg,522909
mktCap,0
lastDiv,0.6869999999999999
range,100.2-257.76
changes,4.73
companyName,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares
currency,USD
cik,0001424958
isin,US25490K3564
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is designed to measure the performance of the oil and gas exploration and production sub-industry determined based on the Global Industry Classification Standards. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GUSH.png
ipoDate,2015-05-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
