,AAAU
symbol,AAAU
price,19.245
beta,0
volAvg,1070185
mktCap,0
lastDiv,0
range,16.06-20.57
changes,0.115
companyName,Goldman Sachs Physical Gold ETF
currency,USD
cik,0001708646
isin,US38150K1034
cusip,38150K103
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The trust holds London Bars and Physical Gold of other specifications without numismatic value. It receives gold deposited by Authorized Participants in exchange for the creation of Baskets and delivers gold to Authorized Participants in exchange for Baskets surrendered to it for redemption.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AAAU.png
ipoDate,2018-07-26
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
