,TIPL
symbol,TIPL
price,20.23
beta,0
volAvg,2118
mktCap,0
lastDiv,0
range,19.41-25.5
changes,-0.02
companyName,Direxion Daily TIPS Bull 2X Shares
currency,USD
cik,0001424958
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TIPL.png
ipoDate,2022-04-07
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
