,RXI
symbol,RXI
price,144.72
beta,0
volAvg,18014
mktCap,0
lastDiv,1.259
range,116.68-169.87
changes,2.3094
companyName,iShares Global Consumer Discretionary ETF
currency,USD
cik,
isin,US4642887453
cusip,464288745
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index uses a capping methodology to limit the weight of the securities of any single issuer (as determined by S&P Dow Jones Indices LLC (the ""index provider"" or ""SPDJI"")) to a maximum of 10% of the underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RXI.png
ipoDate,2006-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
