,01002T.TW
symbol,01002T.TW
price,17.92
beta,0
volAvg,920877
mktCap,24962559427
lastDiv,0
range,17.32-19.8
changes,-0.02
companyName,Cathay No.1 REIT
currency,TWD
cik,
isin,
cusip,
exchange,Taiwan
exchangeShortName,TAI
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/01002T.TW.png
ipoDate,2008-10-09
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
