,KORU
symbol,KORU
price,10.34
beta,0
volAvg,240486
mktCap,0
lastDiv,0.036
range,4.56-21.76
changes,-0.29
companyName,Direxion Daily South Korea Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459Y5208
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, ETFs that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is designed to measure the performance of the large- and mid-cap segments of the South Korean equity market, covering approximately 85% of the free float-adjusted market capitalization of South Korean issuers. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KORU.png
ipoDate,2013-04-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
