,LIT
symbol,LIT
price,70.72
beta,0
volAvg,537467
mktCap,0
lastDiv,0.062
range,57.56-82.17
changes,0.44
companyName,Global X Lithium & Battery Tech ETF
currency,USD
cik,
isin,US37954Y8553
cusip,37954Y855
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to measure broad-based equity market performance of global companies involved in the lithium industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/LIT.png
ipoDate,2010-07-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
