,COWZ
symbol,COWZ
price,49.75
beta,0
volAvg,1858008
mktCap,267390529
lastDiv,0.905
range,39.95-51.605
changes,0.6
companyName,Pacer US Cash Cows 100 ETF
currency,USD
cik,
isin,US69374H8815
cusip,69374H881
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index. The index uses an objective, rules-based methodology to provide exposure to large and mid-capitalization U.S. companies with high free cash flow yields. Companies with high free cash flow yields are commonly referred to as ""cash cows""."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/COWZ.png
ipoDate,2016-12-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
