,STPZ
symbol,STPZ
price,50.25
beta,0
volAvg,235418
mktCap,0
lastDiv,2.83
range,49.34-55.59
changes,0.04
companyName,PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fund
currency,USD
cik,
isin,US72201R2058
cusip,72201R205
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the ICE BofA 1-5 Year US Inflation-Linked Treasury Index (the ""underlying index""). The underlying index is an unmanaged index comprised of Treasury Inflation-Protected Securities (""TIPS"") with a maturity of at least 1 year and less than 5 years."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/STPZ.png
ipoDate,2009-08-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
