,AIRR
symbol,AIRR
price,48.94
beta,0
volAvg,36985
mktCap,227079349
lastDiv,0.055
range,36.11-48.94
changes,1.32
companyName,First Trust RBA American Industrial RenaissanceTM ETF
currency,USD
cik,
isin,US33738R7044
cusip,33738R704
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the equity securities that comprise the index. The index is designed to measure the performance of small and mid cap U.S. companies in the industrial and community banking sectors.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AIRR.png
ipoDate,2014-03-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
