,SSUS
symbol,SSUS
price,32.62
beta,0
volAvg,53239
mktCap,0
lastDiv,0.193
range,28.54-36.21
changes,0.45
companyName,Day Hagan/Ned Davis Research Smart Sector ETF
currency,USD
cik,
isin,US86280R8034
cusip,86280R803
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is considered a ""fund of funds"" that, under normal market conditions, seeks to achieve its investment objective by principally investing in unaffiliated equity exchange traded funds (""ETFs"") that track the performance of the individual sectors (""Sectors"") of the S&P 500 Index. The Advisor will attempt to enhance returns relative to the index by overweighting and underweighting its exposure to the Sectors relative to the index and may reduce its overall exposure to ETFs as determined by its risk management model. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SSUS.png
ipoDate,2020-01-17
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
