,XLB
symbol,XLB
price,84.65
beta,0
volAvg,5014308
mktCap,6088340359
lastDiv,1.7570000000000001
range,66.85-91.49
changes,1.82
companyName,Materials Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y1001
cusip,81369Y100
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: chemicals; metals and mining; paper and forest products; containers and packaging; and construction materials. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLB.png
ipoDate,1998-12-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
