,UTSL
symbol,UTSL
price,31.36
beta,0
volAvg,60716
mktCap,0
lastDiv,0.389
range,21.91-49.54
changes,0.64
companyName,Direxion Daily Utilities Bull 3X Shares
currency,USD
cik,0001424958
isin,US25460E7114
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index includes domestic companies from the utilities sector which includes the following industries: electric utilities; multi-utilities; water utilities and etc. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UTSL.png
ipoDate,2017-05-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
