,MUNI
symbol,MUNI
price,52.46
beta,0
volAvg,294072
mktCap,0
lastDiv,0.9649999999999999
range,49.57-55.21
changes,-0.05
companyName,PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund
currency,USD
cik,
isin,
cusip,72201R866
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its assets in a diversified portfolio of debt securities whose interest is, in the opinion of bond counsel for the issuer at the time of issuance, exempt from federal income tax (""Municipal Bonds""). It may invest 25% or more of its total assets in Municipal Bonds that finance similar projects, such as those relating to education, health care, housing, transportation, and utilities, and 25% or more of its total assets in industrial development bonds."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MUNI.png
ipoDate,2009-11-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
