,TSLS
symbol,TSLS
price,32.77
beta,0
volAvg,687083
mktCap,0
lastDiv,1.642
range,22.79-58.05
changes,-1.31
companyName,Direxion Daily TSLA Bear 1X Shares
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund, under normal circumstances, invests in financial instruments, including swap agreements and options, that, in combination, provide inverse (opposite) or short leveraged exposure to TSLA equal to at least 80% of the fund’s net assets (plus borrowings for investment purposes). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TSLS.png
ipoDate,2022-08-10
defaultImage,False
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
