,EPI
symbol,EPI
price,32.86
beta,0
volAvg,370688
mktCap,1345751890
lastDiv,3.805
range,29.17-37.87
changes,0.38
companyName,WisdomTree India Earnings Fund
currency,USD
cik,
isin,US97717W4226
cusip,97717W422
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is comprised of companies incorporated and traded in India that are profitable and that are eligible to be purchased by foreign investors as of the annual index screening date. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EPI.png
ipoDate,2008-02-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
