,ISDX
symbol,ISDX
price,29.205
beta,0
volAvg,48593
mktCap,0
lastDiv,0.913
range,22.82-31.53
changes,0.245
companyName,Invesco RAFI Strategic Developed ex-US ETF
currency,USD
cik,
isin,US46138J7265
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index and American depositary receipts (""ADRs"") and global depositary receipts (""GDRs"") that are based on securities in the underlying index. The underlying index is designed to measure the performance of equity securities in countries designated as developed market countries (excluding the U.S.)."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ISDX.png
ipoDate,2018-09-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
