,RODM
symbol,RODM
price,26.53
beta,0
volAvg,316021
mktCap,0
lastDiv,0.945
range,21.2-30.15
changes,0.13
companyName,Hartford Multifactor Developed Markets (ex-US) ETF
currency,USD
cik,
isin,US5184161025
cusip,518416102
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally invests at least 80% of its assets in securities included in the index and in depositary receipts representing securities included in the index. The index is designed to address risks and opportunities within developed markets located outside the U.S.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RODM.png
ipoDate,2015-02-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
