,VONV
symbol,VONV
price,69.96
beta,0
volAvg,777431
mktCap,0
lastDiv,1.482
range,58.83-74.46
changes,0.95
companyName,Vanguard Russell 1000 Value Index Fund
currency,USD
cik,
isin,US92206C7149
cusip,92206C714
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the Russell 1000® Value Index. The index is designed to measure the performance of large-capitalization value stocks in the United States. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VONV.png
ipoDate,2010-09-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
