,XMPT
symbol,XMPT
price,22.58
beta,0
volAvg,96747
mktCap,0
lastDiv,1.019
range,19.69-27.51
changes,0.09
companyName,VanEck CEF Municipal Income ETF
currency,USD
cik,
isin,US92189F4607
cusip,92189F460
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund normally invests at least 80% of its total assets in investments the income from which is exempt from U.S. federal income tax (other than federal alternative minimum tax). It normally invests at least 80% of its total assets in securities of issuers that comprise the fund's benchmark index. The CEFMX Index is comprised of shares of U.S.-listed closed-end funds.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XMPT.png
ipoDate,2011-07-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
