,IAT
symbol,IAT
price,53.03
beta,0
volAvg,140886
mktCap,0
lastDiv,1.487
range,45.38-67.14
changes,0.6
companyName,iShares U.S. Regional Banks ETF
currency,USD
cik,
isin,US4642887784
cusip,464288778
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index measures the performance of the regional bank sector of the U.S. equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IAT.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
