,OILU
symbol,OILU
price,54.85
beta,0
volAvg,139857
mktCap,0
lastDiv,0
range,28.41-88.0
changes,1.48
companyName,MicroSectorsTM Oil & Gas Exploration & Production 3X Leveraged ETNs
currency,USD
cik,0000927971
isin,
cusip,063679583
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,NA
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/OILU.png
ipoDate,2021-11-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
