,TPYP
symbol,TPYP
price,25.64
beta,0
volAvg,126024
mktCap,0
lastDiv,1.1070000000000002
range,22.81-28.55
changes,0.3354
companyName,Tortoise North American Pipeline Fund
currency,USD
cik,
isin,US56167N7205
cusip,56167N720
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 80% of its total assets in securities that comprise the underlying index (or depository receipts based on such securities). The underlying index is a proprietary rules-based, capitalization weighted, float adjusted index designed to track the overall performance of equity securities of North American Pipeline Companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TPYP.png
ipoDate,2015-06-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
