,FAZ
symbol,FAZ
price,15.67
beta,0
volAvg,3003465
mktCap,163516325
lastDiv,0.36
range,15.53-32.59
changes,-0.13
companyName,Direxion Daily Financial Bear 3X Shares
currency,USD
cik,0001424958
isin,US25460E1331
cusip,25490K539
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index includes securities of companies from the following industries: Banks; Thrifts & Mortgage Finance; Diversified Financial Services; Consumer Finance; capital markets; Insurance; and Mortgage REITs. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FAZ.png
ipoDate,2008-11-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
