,TWM
symbol,TWM
price,13.75
beta,0
volAvg,1802378
mktCap,0
lastDiv,0.029
range,13.41-21.11
changes,-0.68
companyName,ProShares UltraShort Russell2000
currency,USD
cik,
isin,US74348A3196
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a measure of small-cap U.S. stock market performance. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TWM.png
ipoDate,2007-01-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
