,KTEC
symbol,KTEC
price,14.19
beta,0
volAvg,13257
mktCap,0
lastDiv,0.021
range,8.26-18.8
changes,-0.11
companyName,KraneShares Hang Seng TECH Index ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is composed of the equity securities of the 30 technology companies with the largest free float market capitalization that are listed on the Hong Kong Stock Exchange with significant exposure to internet, fintech, cloud computing, e-commerce and digital technology. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KTEC.png
ipoDate,2021-06-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
