,JAGG
symbol,JAGG
price,47.25
beta,0
volAvg,139063
mktCap,0
lastDiv,0.9099999999999999
range,44.074-52.88
changes,0.15
companyName,JPMorgan U.S. Aggregate Bond ETF
currency,USD
cik,
isin,US46641Q6136
cusip,46641Q241
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund invests at least 80% of its assets in bonds denominated in U.S. dollars. The fund is actively managed and seeks to provide long-term return by principally investing in corporate bonds, U.S. treasury obligations and other U.S. government and agency securities, and asset-backed, mortgage-related and mortgage-backed securities, all of which are rated investment grade by a nationally recognized statistical rating organization or that are unrated but are deemed by the fund's adviser, J.P. Morgan Investment Management Inc. to be of comparable quality."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JAGG.png
ipoDate,2018-12-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
