,DGIN
symbol,DGIN
price,28.24
beta,0
volAvg,519
mktCap,0
lastDiv,0
range,27.225-38.04
changes,0.0602
companyName,VanEck Digital India ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise its benchmark index. The index consists of equity securities of companies involved in supporting the digitalization of the Indian economy. The fund is non-diversified.
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DGIN.png
ipoDate,2022-02-17
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
