,CXSE
symbol,CXSE
price,39.43
beta,0
volAvg,203890
mktCap,146733343
lastDiv,0.537
range,26.31-48.8
changes,-0.36
companyName,WisdomTree China ex-State-Owned Enterprises Fund
currency,USD
cik,
isin,US97717X7194
cusip,97717X719
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a modified float-adjusted market cap weighted index that consists of common stocks in China, excluding common stocks of ""state-owned enterprises."" The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CXSE.png
ipoDate,2012-09-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
