,CGDV
symbol,CGDV
price,24.76
beta,0
volAvg,923386
mktCap,0
lastDiv,0.32000000000000006
range,20.41-26.475
changes,0.28
companyName,Capital Group Dividend Value ETF
currency,USD
cik,0001870128
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Normally, the fund invests at least 80% of its assets in dividend-paying common stocks of larger, more established companies domiciled in the United States with market capitalizations greater than $4.0 billion. It may invest up to 10% of its assets in equity securities of larger companies domiciled outside the United States. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CGDV.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
