,SDOW
symbol,SDOW
price,24.77
beta,0
volAvg,10501226
mktCap,0
lastDiv,0.097
range,23.33-44.05
changes,-0.85
companyName,ProShares UltraPro Short Dow30
currency,USD
cik,
isin,US74347G3092
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a price-weighted index and includes 30 large-cap, ""blue-chip"" U.S. stocks, excluding utility and transportation companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SDOW.png
ipoDate,2010-02-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
