,QQC.TO
symbol,QQC.TO
price,19.2
beta,0
volAvg,11529
mktCap,0
lastDiv,0.15999999999999998
range,17.1-23.37
changes,0.16
companyName,Invesco NASDAQ 100 Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QQC.TO.png
ipoDate,2021-05-27
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
