,PPA
symbol,PPA
price,80.36
beta,0
volAvg,194613
mktCap,1217454000
lastDiv,0.6469999999999999
range,64.48-80.52
changes,1.12
companyName,Invesco Aerospace & Defense ETF
currency,USD
cik,
isin,US46137V1008
cusip,46137V100
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of common stocks of companies that are systematically important to the defense sector and are involved with the development, manufacture, operation and support of U.S. defense, military, national/homeland security, and government space operations. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PPA.png
ipoDate,2005-10-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
