,GDXU
symbol,GDXU
price,55.44
beta,0
volAvg,330908
mktCap,310663645261
lastDiv,0
range,2.1-63.82
changes,0.79
companyName,MicroSectors Gold Miners 3X Leveraged ETNs
currency,USD
cik,0000927971
isin,US0636796585
cusip,063679658
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,NA
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GDXU.png
ipoDate,2020-12-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
