,QBTL.TO
symbol,QBTL.TO
price,19.04
beta,0
volAvg,27750
mktCap,0
lastDiv,0.632
range,17.53-21.68
changes,0.01
companyName,AGFiQ US Market Neutral Anti-Beta CAD-Hedged ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QBTL.TO.png
ipoDate,2019-10-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
