,EWX
symbol,EWX
price,52.04
beta,0
volAvg,56545
mktCap,505786596
lastDiv,1.466
range,44.25-58.76
changes,0.72
companyName,SPDR S&P Emerging Markets Small Cap ETF
currency,USD
cik,
isin,US78463X7562
cusip,78463X756
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is a float-adjusted market capitalization weighted index designed to represent the small capitalization segment of emerging countries included in the S&P Global BMI."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWX.png
ipoDate,2008-05-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
