,XLK
symbol,XLK
price,135.96
beta,0
volAvg,6739060
mktCap,36988736479
lastDiv,1.291
range,112.97-164.11
changes,1.87
companyName,Technology Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y8030
cusip,81369Y803
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLK.png
ipoDate,1998-12-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
