,UWM
symbol,UWM
price,37.23
beta,0
volAvg,799188
mktCap,0
lastDiv,0.126
range,27.77-49.63
changes,1.74
companyName,ProShares Ultra Russell2000
currency,USD
cik,
isin,US74347R8429
cusip,74347R842
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a float-adjusted, market capitalization-weighted index containing approximately 2000 of the smallest companies in the Russell 3000® Index or approximately 10% of the total market capitalization of the Russell 3000® Index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UWM.png
ipoDate,2007-01-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
