,ZZZD.TO
symbol,ZZZD.TO
price,28
beta,0
volAvg,1580
mktCap,0
lastDiv,1.2
range,23.54-28.78
changes,0.29
companyName,BMO Tactical Dividend ETF Fund
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZZZD.TO.png
ipoDate,2019-01-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
