,FNGS
symbol,FNGS
price,22.98
beta,0
volAvg,32145
mktCap,0
lastDiv,0
range,17.82-30.73
changes,0.45
companyName,MicroSectors FANG+ ETN
currency,USD
cik,0000927971
isin,US06368B5049
cusip,06368B504
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The index is an equal-dollar weighted index designed to represent a segment of the technology and consumer discretionary sectors consisting of highly-traded growth stocks of technology and tech-enabled companies. The notes are unsecured and unsubordinated obligations of Bank of Montreal. Each note will have an initial principal amount of $50.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FNGS.png
ipoDate,2019-11-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
