,MINO
symbol,MINO
price,45.01
beta,0
volAvg,13703
mktCap,0
lastDiv,1.1019999999999999
range,41.58-48.77
changes,0.104
companyName,PIMCO Municipal Income Opportunities Active Exchange-Traded Fund
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective by investing under normal circumstances at least 80% of its assets in debt securities whose interest is, in the opinion of bond counsel for the issuer at the time of issuance, exempt from federal income tax. It may invest up to 30% of its assets in high yield securities. The average portfolio duration of this fund normally varies within (negative) 2 years to positive 2 years of the portfolio duration of the securities comprising the Bloomberg Municipal Bond Index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MINO.png
ipoDate,2021-09-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
