,GRID
symbol,GRID
price,95.29
beta,0
volAvg,48326
mktCap,0
lastDiv,1.102
range,71.92-95.67
changes,1.28
companyName,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund
currency,USD
cik,
isin,US33737A1088
cusip,33737A108
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes companies that are primarily engaged and involved in electric grid, electric meters and devices, networks, energy storage and management, and enabling software used by the smart grid infrastructure sector. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GRID.png
ipoDate,2009-11-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
