,VCLT
symbol,VCLT
price,81.53
beta,0
volAvg,1542919
mktCap,0
lastDiv,3.06
range,68.68-101.29
changes,0.8
companyName,Vanguard Long-Term Corporate Bond Index Fund
currency,USD
cik,
isin,US92206C8139
cusip,92206C813
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the Bloomberg U.S. 10+ Year Corporate Bond Index. This index includes U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by U.S. and non-U.S. industrial, utility, and financial companies, with maturities greater than 10 years. Under normal circumstances, at least 80% of the fund's assets will be invested in bonds included in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VCLT.png
ipoDate,2009-11-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
