,UVXY
symbol,UVXY
price,4.91
beta,0
volAvg,35113867
mktCap,0
lastDiv,0
range,4.73-23.47
changes,-0.14
companyName,ProShares Ultra VIX Short-Term Futures ETF
currency,USD
cik,0001415311
isin,US74347W1484
cusip,74347Y839
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The index seeks to offer exposure to market volatility through publicly traded futures markets and is designed to measure the implied volatility of the S&P 500 over 30 days in the future.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UVXY.png
ipoDate,2011-10-03
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
