,PBW
symbol,PBW
price,46.05
beta,0
volAvg,361834
mktCap,263326287
lastDiv,1.613
range,36.17-68.96
changes,1.66
companyName,Invesco WilderHill Clean Energy ETF
currency,USD
cik,
isin,US46137V1347
cusip,46137V134
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The index is composed of stocks of publicly traded companies listed on a major exchange in the U.S. that are engaged in the business of the advancement of cleaner energy and conservation or are important to the development of clean energy. Stocks are included in the index based on the index provider's evaluation that such companies will substantially benefit from a societal transition toward the use of cleaner energy, zero-CO2 renewables and conservation."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PBW.png
ipoDate,2005-03-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
