,TYO
symbol,TYO
price,12.2
beta,0
volAvg,103263
mktCap,0
lastDiv,0.012
range,8.69-15.09
changes,-0.16
companyName,Direxion Daily 7-10 Year Treasury Bear 3X Shares
currency,USD
cik,0001424958
isin,US25459W5572
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is a market value weighted index that includes publicly issued U.S. Treasury securities that have a remaining maturity of greater than or equal to seven years and less than ten years. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TYO.png
ipoDate,2009-04-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
