,FXH
symbol,FXH
price,113.19
beta,0
volAvg,53173
mktCap,2161348335
lastDiv,0.222
range,95.39-119.28
changes,0.85
companyName,First Trust Health Care AlphaDEX Fund
currency,USD
cik,
isin,US33734X1431
cusip,33734X143
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the health care sector that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FXH.png
ipoDate,2007-05-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
