,IVV
symbol,IVV
price,412.36
beta,0
volAvg,4404790
mktCap,256302368721
lastDiv,6.394
range,349.53-464.05
changes,4.05
companyName,iShares Core S&P 500 ETF
currency,USD
cik,
isin,US4642872000
cusip,464287200
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of the large-capitalization sector of the U.S. equity market, as determined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IVV.png
ipoDate,2000-05-15
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
