,DIVO
symbol,DIVO
price,36.13
beta,0
volAvg,552111
mktCap,16376681
lastDiv,1.707
range,31.98-38.33
changes,0.08
companyName,Amplify CWP Enhanced Dividend Income ETF
currency,USD
cik,0001633061
isin,US0321084099
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund invests at least 80% of its net assets in dividend-paying U.S. exchange-traded equity securities (""Equity Securities"") and will opportunistically utilize an ""option strategy"" consisting of writing (selling) U.S. exchange-traded covered call options on such Equity Securities. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DIVO.png
ipoDate,2016-12-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
