,BUG
symbol,BUG
price,22.1317
beta,0
volAvg,503550
mktCap,0
lastDiv,0.323
range,19.58-32.33
changes,0.4417
companyName,Global X Cybersecurity ETF
currency,USD
cik,
isin,US37954Y3844
cusip,37954Y384
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies that are positioned to benefit from increased adoption of cybersecurity technology. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BUG.png
ipoDate,2019-10-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
