,RDVY
symbol,RDVY
price,47.92
beta,0
volAvg,845800
mktCap,0
lastDiv,0.97
range,38.34-52.33
changes,0.92
companyName,First Trust Rising Dividend Achievers ETF
currency,USD
cik,
isin,US33738R5063
cusip,33738R506
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stock and depositary receipts that comprise the index. The index is designed to provide access to a diversified portfolio of small, mid and large capitalization companies with a history of raising their dividends while exhibiting the characteristics to continue to do so in the future by including companies with strong cash balances, low debt and increasing earnings."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RDVY.png
ipoDate,2014-01-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
