,VYMI
symbol,VYMI
price,64.3
beta,0
volAvg,628473
mktCap,0
lastDiv,2.803
range,51.242-71.37
changes,0.31
companyName,Vanguard International High Dividend Yield Fund
currency,USD
cik,
isin,US9219467944
cusip,921946794
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the full index in terms of key characteristics. The index focuses on companies located in developed and emerging markets, excluding the United States, that are forecasted to have above-average dividend yields."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VYMI.png
ipoDate,2016-02-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
