,HEU.TO
symbol,HEU.TO
price,25.865
beta,0
volAvg,101667
mktCap,0
lastDiv,0
range,16.45-36.83
changes,0.515
companyName,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HEU.TO.png
ipoDate,2007-06-26
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
