,CMF
symbol,CMF
price,57.54
beta,0
volAvg,346113
mktCap,1146219816
lastDiv,0.9769999999999998
range,53.91-60.8
changes,0.07
companyName,iShares California Muni Bond ETF
currency,USD
cik,
isin,US4642883569
cusip,464288356
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index includes municipal bonds issued in the State of California, the interest of which is exempt from Federal income taxes and not subject to AMT. The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CMF.png
ipoDate,2007-10-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
