,VNQI
symbol,VNQI
price,44.155
beta,0
volAvg,369296
mktCap,0
lastDiv,0.235
range,36.02-53.45
changes,-0.075
companyName,Vanguard Global ex-U.S. Real Estate Index Fund
currency,USD
cik,
isin,US9220426764
cusip,922042676
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the S&P Global ex-U.S. Property Index, a float-adjusted, market-capitalization-weighted index that measures the equity market performance of international real estate stocks in both developed and emerging markets. The index is composed of stocks of publicly traded equity real estate investment trusts (known as REITs) and certain real estate management and development companies (REMDs)."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VNQI.png
ipoDate,2010-11-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
