,YINN
symbol,YINN
price,63.54
beta,0
volAvg,2165095
mktCap,0
lastDiv,0.524
range,19.66-194.4
changes,-1.06
companyName,Direxion Daily FTSE China Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459W7719
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, exchange-traded funds (""ETFs"") that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index consists of the 50 largest and most liquid public Chinese companies currently trading on the Hong Kong Stock Exchange. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/YINN.png
ipoDate,2009-12-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
