,EMSG
symbol,EMSG
price,25.73
beta,0
volAvg,8300
mktCap,0
lastDiv,0.526
range,19.86-31.66
changes,-0.0636
companyName,Xtrackers MSCI Emerging Markets ESG Leaders Equity ETF
currency,USD
cik,0001503123
isin,US2330512268
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The index consists of large- and medium-capitalization companies across emerging markets countries. The fund will invest at least 80% of its total assets (but typically far more) in component securities (including depositary receipts in respect of such securities) of the index. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EMSG.png
ipoDate,2018-12-06
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
