,FNGU
symbol,FNGU
price,77.7906
beta,0
volAvg,2696555
mktCap,0
lastDiv,0
range,36.64-308.5
changes,8.3306
companyName,MicroSectors FANG+ Index 3X Leveraged ETN
currency,USD
cik,0000927971
isin,US0636798722
cusip,063679872
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The notes are intended to be daily trading tools for sophisticated investors to manage daily trading risks as part of an overall diversified portfolio. The index is an equal-dollar weighted index designed to represent a segment of the technology and consumer discretionary sectors consisting of highly-traded growth stocks of technology and tech-enabled companies.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FNGU.png
ipoDate,2018-01-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
