,CQQQ
symbol,CQQQ
price,48.57
beta,0
volAvg,277932
mktCap,0
lastDiv,0.033
range,29.86-60.42
changes,-0.32
companyName,Invesco China Technology ETF
currency,USD
cik,
isin,US46138E8003
cusip,46138E800
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index, as well as ADRs and GDRs that represent securities in the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains, and calculates the underlying index. The underlying index may include China A-Shares, B Shares, H Shares, N Shares, Red Chips, P Chips and S Chips. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CQQQ.png
ipoDate,2009-12-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
