,BSMN
symbol,BSMN
price,25.19
beta,0
volAvg,73254
mktCap,838411390
lastDiv,0.26000000000000006
range,24.72-25.5
changes,0.01
companyName,Invesco BulletShares (R) 2023 Municipal Bond ETF
currency,USD
cik,
isin,US46138J5442
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment-grade municipal bonds with maturities or, in some cases, “effective maturities,” in the year 2023 (collectively, “2023 Bonds”). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSMN.png
ipoDate,2019-09-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
