,ZFL.TO
symbol,ZFL.TO
price,14.01
beta,0
volAvg,52559
mktCap,0
lastDiv,0.49799999999999994
range,12.3-17.06
changes,-0.06
companyName,BMO Long Federal Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZFL.TO.png
ipoDate,2010-05-26
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
